overall_no|season_no|title|directors|writers|air_date|Prod. code [13]|U.S. viewers (millions)
1|1|"The Seinfeld Chronicles" "Good News, Bad News" "Pilot"|Art Wolff|Larry David & Jerry Seinfeld|July 5, 1989 (1989-07-05)|101|15.4[14]
2|2|"The Stake Out"|Tom Cherones|Larry David & Jerry Seinfeld|May 31, 1990 (1990-05-31)|103|22.5[15]
3|3|"The Robbery"|Tom Cherones|Matt Goldman|June 7, 1990 (1990-06-07)|104|19.7[16]
4|4|"Male Unbonding"|Tom Cherones|Larry David & Jerry Seinfeld|June 14, 1990 (1990-06-14)|102|19.1[17]
5|5|"The Stock Tip"|Tom Cherones|Larry David & Jerry Seinfeld|June 21, 1990 (1990-06-21)|105|19.4[18]
6|1|"The Ex-Girlfriend"|Tom Cherones|Larry David & Jerry Seinfeld|January 23, 1991 (1991-01-23)|201|15.6[19]
7|2|"The Pony Remark"|Tom Cherones|Larry David & Jerry Seinfeld|January 30, 1991 (1991-01-30)|202|15.2[20]
8|3|"The Jacket"|Tom Cherones|Larry David & Jerry Seinfeld|February 6, 1991 (1991-02-06)|205|14.8[21]
9|4|"The Phone Message"|Tom Cherones|Larry David & Jerry Seinfeld|February 13, 1991 (1991-02-13)|207|13.6[22]
10|5|"The Apartment"|Tom Cherones|Peter Mehlman|April 4, 1991 (1991-04-04)|208|24.7[23]
11|6|"The Statue"|Tom Cherones|Larry Charles|April 11, 1991 (1991-04-11)|210|23.3[24]
12|7|"The Revenge"|Tom Cherones|Larry David|April 18, 1991 (1991-04-18)|212|19.6[25]
13|8|"The Heart Attack"|Tom Cherones|Larry Charles|April 25, 1991 (1991-04-25)|211|20.6[26]
14|9|"The Deal"|Tom Cherones|Larry David|May 2, 1991 (1991-05-02)|213|22.9[27]
15|10|"The Baby Shower"|Tom Cherones|Larry Charles|May 16, 1991 (1991-05-16)|204|17.2[28]
16|11|"The Chinese Restaurant"|Tom Cherones|Larry David & Jerry Seinfeld|May 23, 1991 (1991-05-23)|206|16.8[29]
17|12|"The Busboy"|Tom Cherones|Larry David & Jerry Seinfeld|June 26, 1991 (1991-06-26)|203|12.5[30]
18|1|"The Note"|Tom Cherones|Larry David|September 18, 1991 (1991-09-18)|301|21.7[31]
19|2|"The Truth"|David Steinberg|Elaine Pope|September 25, 1991 (1991-09-25)|302|16.7[32]
20|3|"The Pen"|Tom Cherones|Larry David|October 2, 1991 (1991-10-02)|305|15.1[33]
21|4|"The Dog"|Tom Cherones|Larry David|October 9, 1991 (1991-10-09)|303|17.2[34]
22|5|"The Library"|Joshua White|Larry Charles|October 16, 1991 (1991-10-16)|304|16.4[35]
23|6|"The Parking Garage"|Tom Cherones|Larry David|October 30, 1991 (1991-10-30)|306|17.0[36]
24|7|"The Café"|Tom Cherones|Tom Leopold|November 6, 1991 (1991-11-06)|307|16.4[37]
25|8|"The Tape"|David Steinberg|Larry David and Bob Shaw & Don McEnery|November 13, 1991 (1991-11-13)|308|15.8[38]
26|9|"The Nose Job"|Tom Cherones|Peter Mehlman|November 20, 1991 (1991-11-20)|309|16.3[39]
27|10|"The Stranded"|Tom Cherones|Larry David & Jerry Seinfeld and Matt Goldman|November 27, 1991 (1991-11-27)|209[40]|18.6[41]
28|11|"The Alternate Side"|Tom Cherones|Larry David and Bill Masters|December 4, 1991 (1991-12-04)|310|18.0[42]
29|12|"The Red Dot"|Tom Cherones|Larry David|December 11, 1991 (1991-12-11)|311|17.9[43]
30|13|"The Subway"|Tom Cherones|Larry Charles|January 8, 1992 (1992-01-08)|313|18.7[44]
31|14|"The Pez Dispenser"|Tom Cherones|Larry David|January 15, 1992 (1992-01-15)|314|19.2[45]
32|15|"The Suicide"|Tom Cherones|Tom Leopold|January 29, 1992 (1992-01-29)|312|16.9[46]
33|16|"The Fix-Up"|Tom Cherones|Elaine Pope & Larry Charles|February 5, 1992 (1992-02-05)|317|18.5[47]
34|17|"The Boyfriend"|Tom Cherones|Larry David and Larry Levin|February 12, 1992 (1992-02-12)|315|17.0[48]
35|18|"The New Friend"|Tom Cherones|Larry David and Larry Levin|February 12, 1992 (1992-02-12)|316|17.0[48]
36|19|"The Limo"|Tom Cherones|Story by: Marc Jaffe Teleplay: Larry Charles|February 26, 1992 (1992-02-26)|318|19.5[49]
37|20|"The Good Samaritan"|Jason Alexander|Peter Mehlman|March 4, 1992 (1992-03-04)|319|16.1[50]
38|21|"The Letter"|Tom Cherones|Larry David|March 25, 1992 (1992-03-25)|320|22.3[51]
