file_no	scene_name	character_name	noLines
01	AIRPORT – NIGHT	GEORGE	14
01	AIRPORT – NIGHT	JERRY	17
01	COMEDY CLUB - NIGHT	JERRY	1
01	COMEDY CLUB – NIGHT	JERRY	3
01	JERRY’S APARTMENT	JERRY	14
01	JERRY’S APARTMENT	KRAMER	13
01	JERRY’S APARTMENT – NIGHT	GEORGE	15
01	JERRY’S APARTMENT – NIGHT	JERRY	24
01	JERRY’S APARTMENT – NIGHT	KRAMER	8
01	LAUNDRAMAT - DAY	GEORGE	13
01	LAUNDRAMAT - DAY	JERRY	12
01	PETE’S LUNCHEONETTE – DAY	GEORGE	28
01	PETE’S LUNCHEONETTE – DAY	JERRY	23
02	BAR – NIGHT	ELAINE	11
02	BAR – NIGHT	JERRY	24
02	COMEDY CLUB – NIGHT	JERRY	4
02	JERRY’S APARTMENT	HELEN	17
02	JERRY’S APARTMENT	JERRY	20
02	JERRY’S APARTMENT	KRAMER	6
02	JERRY’S APARTMENT	MORTY	5
02	JERRY’S APARTMENT – NIGHT	HELEN	22
02	JERRY’S APARTMENT – NIGHT	JERRY	28
02	JERRY’S APARTMENT – NIGHT	MORTY	15
02	JERRY’S APARTMENT-NEXT DAY	ELAINE	19
02	JERRY’S APARTMENT-NEXT DAY	JERRY	27
02	OFFICE BUILDING – DAY	GEORGE	28
02	OFFICE BUILDING – DAY	JERRY	29
02	TAXICAB – NIGHT	ELAINE	6
02	TAXICAB – NIGHT	JERRY	6
02	VIDEO STORE – NIGHT	ELAINE	17
02	VIDEO STORE – NIGHT	JERRY	18
02	VIDEO STORE – NIGHT	WOMAN	1
03	COMEDY CLUB	JERRY	1
03	COMEDY CLUB – NIGHT	JERRY	2
03	JERRY’S APARTMENT	ELAINE	17
03	JERRY’S APARTMENT	GEORGE	13
03	JERRY’S APARTMENT	JERRY	18
03	JERRY’S APARTMENT – DAY	ELAINE	25
03	JERRY’S APARTMENT – DAY	GEORGE	28
03	JERRY’S APARTMENT – DAY	JERRY	64
03	JERRY’S APARTMENT – DAY	KRAMER	18
03	MONK’S DINER – DAY	GEORGE	12
03	MONK’S DINER – DAY	JERRY	10
03	THE APARTMENT ON 83RD STREET – DAY	ELAINE	15
03	THE APARTMENT ON 83RD STREET – DAY	GEORGE	15
03	THE APARTMENT ON 83RD STREET – DAY	JERRY	15
04	BANK – DAY	GEORGE	22
04	BANK – DAY	JERRY	19
04	COMEDY CLUB	JERRY	1
04	COMEDY CLUB – NIGHT	JERRY	3
04	ELEVATOR – CONTINUING	GEORGE	6
04	ELEVATOR – CONTINUING	JERRY	6
04	JERRY’S APARTMENT – CONTINUING	GEORGE	6
04	JERRY’S APARTMENT – CONTINUING	JERRY	12
04	JERRY’S APARTMENT – CONTINUING	KRAMER	7
04	JERRY’S APARTMENT – DAY	GEORGE	13
04	JERRY’S APARTMENT – DAY	JERRY	12
04	JERRY’S APARTMENT – DAY	KRAMER	9
04	JERRY’S APARTMENT – NIGHT	ELAINE	19
04	JERRY’S APARTMENT – NIGHT	JERRY	24
04	JERRY’S APARTMENT – NIGHT	KRAMER	8
04	JERRY’S LOBBY – DAY	GEORGE	4
04	JERRY’S LOBBY – DAY	JERRY	3
04	MONK’S DINER – DAY	JERRY	22
05	COMEDY CLUB	JERRY	1
05	COMEDY CLUB - NIGHT	JERRY	1
05	COMEDY CLUB – NIGHT	JERRY	1
05	COUNTRY INN’S LOBBY - DAY	JERRY	16
05	DRY CLEANERS – DAY	GEORGE	11
05	DRY CLEANERS – DAY	JERRY	18
05	JERRY’S APARTMENT	ELAINE	8
05	JERRY’S APARTMENT	GEORGE	4
05	JERRY’S APARTMENT	JERRY	28
05	JERRY’S APARTMENT	KRAMER	18
05	MONK’S DINER – DAY	ELAINE	14
05	MONK’S DINER – DAY	GEORGE	20
05	MONK’S DINER – DAY	JERRY	22
05	MONK’S DINER – NIGHT	ELAINE	7
05	MONK’S DINER – NIGHT	GEORGE	9
05	MONK’S DINER – NIGHT	JERRY	8
05	SUPERMARKET – NIGHT	JERRY	7
06	CHIROPRACTOR’S WAITING ROOM – DAY	GEORGE	10
06	CHIROPRACTOR’S WAITING ROOM – DAY	JERRY	9
06	COMEDY CLUB	JERRY	1
06	COMEDY CLUB – NIGHT	JERRY	2
06	JERRY’S APARTMENT	GEORGE	11
06	JERRY’S APARTMENT	JERRY	22
06	JERRY’S APARTMENT	KRAMER	15
06	JERRY’S APARTMENT – DAY	ELAINE	11
06	JERRY’S APARTMENT – DAY	JERRY	28
06	JERRY’S APARTMENT – DAY	KRAMER	22
06	JERRY’S CAR	ELAINE	12
06	JERRY’S CAR	GEORGE	20
06	JERRY’S CAR	JERRY	15
06	JERRY’S CAR – NIGHT	JERRY	14
06	MONK’S DINER – DAY	GEORGE	14
06	MONK’S DINER – DAY	JERRY	13
06	MONK’S DINER – NIGHT	JERRY	3
07	COMEDY CLUB – NIGHT	JERRY	3
07	FUNERAL HOME – LATER	ELAINE	7
07	FUNERAL HOME – LATER	HELEN	2
07	FUNERAL HOME – LATER	JERRY	6
07	FUNERAL HOME – LATER	MORTY	4
07	JERRY’S APARTMENT – DAY	HELEN	18
07	JERRY’S APARTMENT – DAY	JERRY	34
07	JERRY’S APARTMENT – DAY	KRAMER	23
07	JERRY’S APARTMENT – DAY	MORTY	16
07	JERRY’S APARTMENT – LATER	HELEN	15
07	JERRY’S APARTMENT – LATER	JERRY	14
07	JERRY’S APARTMENT – LATER	MORTY	7
07	MANYA & ISAAC’S APARTMENT – EVENING	ELAINE	5
07	MANYA & ISAAC’S APARTMENT – EVENING	HELEN	4
07	MANYA & ISAAC’S APARTMENT – EVENING	JERRY	15
07	MANYA & ISAAC’S APARTMENT – EVENING	MORTY	1
07	MONK’S DINER – DAY	ELAINE	19
07	MONK’S DINER – DAY	GEORGE	12
07	MONK’S DINER – DAY	JERRY	18
08	CLOTHING STORE	ELAINE	15
08	CLOTHING STORE	JERRY	15
08	COMEDY CLUB – NIGHT	JERRY	3
08	HOTEL LOBBY – LATER	ELAINE	10
08	HOTEL LOBBY – LATER	GEORGE	12
08	HOTEL LOBBY – LATER	JERRY	15
08	HOTEL WESTBURY’S BATHROOM – CONTINUING	GEORGE	7
08	HOTEL WESTBURY’S BATHROOM – CONTINUING	JERRY	6
08	HOTEL WESTBURY’S LOBBY – NIGHT	GEORGE	22
08	HOTEL WESTBURY’S LOBBY – NIGHT	JERRY	13
08	JERRY’S APARTMENT	GEORGE	12
08	JERRY’S APARTMENT	JERRY	15
08	JERRY’S APARTMENT	KRAMER	6
08	JERRY’S APARTMENT – MORNING	JERRY	14
08	JERRY’S APARTMENT – MORNING	KRAMER	16
08	JERRY’S APARTMENT – NIGHT	ELAINE	8
08	JERRY’S APARTMENT – NIGHT	JERRY	16
08	JERRY’S APARTMENT – NIGHT	KRAMER	13
09	CAROL’S APARTMENT – CONTINUING	GEORGE	7
09	CAROL’S APARTMENT – CONTINUING	JERRY	5
09	COMEDY CLUB – NIGHT	JERRY	3
