overall_no|season_no|episode_no|title|directors|writers|air_date|production_code|us_viewers
1|1|1|"Good News, Bad News"|Art Wolff|Larry David, Jerry Seinfeld|1989-07-05|101|15.4
2|1|2|"The Stake Out"|Tom Cherones|Larry David, Jerry Seinfeld|1990-05-31|103|22.5
3|1|3|"The Robbery"|Tom Cherones|Matt Goldman|1990-06-07|104|19.7
4|1|4|"Male Unbonding"|Tom Cherones|Larry David, Jerry Seinfeld|1990-06-14|102|19.1
5|1|5|"The Stock Tip"|Tom Cherones|Larry David, Jerry Seinfeld|1990-06-21|105|19.4
6|2|1|"The Ex-Girlfriend"|Tom Cherones|Larry David, Jerry Seinfeld|1991-01-23|201|15.6
7|2|2|"The Pony Remark"|Tom Cherones|Larry David, Jerry Seinfeld|1991-01-30|202|15.2
8|2|3|"The Jacket"|Tom Cherones|Larry David, Jerry Seinfeld|1991-02-06|205|14.8
9|2|4|"The Phone Message"|Tom Cherones|Larry David, Jerry Seinfeld|1991-02-13|207|13.6
10|2|5|"The Apartment"|Tom Cherones|Peter Mehlman|1991-04-04|208|24.7
11|2|6|"The Statue"|Tom Cherones|Larry Charles|1991-04-11|210|23.3
12|2|7|"The Revenge"|Tom Cherones|Larry David|1991-04-18|212|19.6
13|2|8|"The Heart Attack"|Tom Cherones|Larry Charles|1991-04-25|211|20.6
14|2|9|"The Deal"|Tom Cherones|Larry David|1991-05-02|213|22.9
15|2|10|"The Baby Shower"|Tom Cherones|Larry Charles|1991-05-16|204|17.2
16|2|11|"The Chinese Restaurant"|Tom Cherones|Larry David, Jerry Seinfeld|1991-05-23|206|16.8
17|2|12|"The Busboy"|Tom Cherones|Larry David, Jerry Seinfeld|1991-06-26|203|12.5
18|3|1|"The Note"|Tom Cherones|Larry David|1991-09-18|301|21.7
19|3|2|"The Truth"|David Steinberg|Elaine Pope|1991-09-25|302|16.7
20|3|3|"The Pen"|Tom Cherones|Larry David|1991-10-02|305|15.1
21|3|4|"The Dog"|Tom Cherones|Larry David|1991-10-09|303|17.2
22|3|5|"The Library"|Joshua White|Larry Charles|1991-10-16|304|16.4
23|3|6|"The Parking Garage"|Tom Cherones|Larry David|1991-10-30|306|17.0
24|3|7|"The Café"|Tom Cherones|Tom Leopold|1991-11-06|307|16.4
25|3|8|"The Tape"|David Steinberg|Larry David, Bob Shaw, Don McEnery|1991-11-13|308|15.8
26|3|9|"The Nose Job"|Tom Cherones|Peter Mehlman|1991-11-20|309|16.3
27|3|10|"The Stranded"|Tom Cherones|Larry David, Jerry Seinfeld, Matt Goldman|1991-11-27|209|18.6
28|3|11|"The Alternate Side"|Tom Cherones|Larry David, Bill Masters|1991-12-04|310|18.0
